Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Diversity and Inclusion Data Analyst,$78K-$133K (Glassdoor est.),"Position Summary


The D&I Data Analyst will be responsible for the development of various management, Board of Directors (Board) and Federal Housing Finance Agency (FHFA) reports, including in-depth data analytics, quality reviews and control development, to support the development and execution of strategic objectives. The role will report to the Senior Director of the Office of Diversity and Inclusion and support the operational functions of the Office, including the Bank’s Diversity and Inclusion Leadership Committee, and supporting councils and employee resource groups.

Primary Success Factors


The D&I Data Analyst will demonstrate the ability to:
Assist in the preparation and submission of timely and accurate quarterly and annual reports to FHFA while collaborating with departments to gather and analyze information.
Review and provide recommendations regarding proper controls and procedures to ensure the integrity of the reports; identify opportunities for continuous system and process improvements and lead the development of supporting processes.
Perform in-depth data analytics, including quantitative, statistical and comparative analysis, to determine patterns and recognize trends; prepare a variety of reports and presentations for management, the Board and FHFA.
Translate data into written reports, tables, graphs and charts (including developing creative data visualizations to illustrate key findings); interpret data results to provide written commentary that articulates pertinent findings.
Support the development and refinement of performance metrics to evaluate the effectiveness of activities supporting the Bank’s Diversity and Inclusion Strategic Plan; perform ad-hoc analysis to enhance understanding of identified metrics.
Conduct research to provide insight on Bank’s performance trends and identified target ranges using publicly available industry and FHLBank system data; serve as a liaison to FHFA, the FHLBank System and other external data analysts specializing in diversity and inclusion.
Support operational functions of the Office including, but not limited to, Committee administrative support, coordination of communication materials, organization of exam-related document requests, D&I training, pulse surveys or focus groups, and annual review of policies and procedures.
Required Experience
Bachelor’s degree in business, economics, statistics or related field
Three years of related experience with strategic initiative project management, process and performance improvement, data analytics and reporting metrics
Experience in diversity and inclusion in the financial services industry is a plus
Highly proficient with Microsoft Office products; experience with Tableau or other data visualization tools
Proven track record with strong written and oral communication, analytical skills, data visualization and project management skills; high level of attention to detail and accuracy; ability to routinely manage large data sets
Strong interpersonal skills, self-motivated, and a demonstrated ability to multi-task and work independently while collaborating effectively at all levels of the Bank
It is the policy of the Federal Home Loan Bank of Pittsburgh to ensure equal employment opportunity (EEO) for all employees and applicants for employment without regard to race, religion, color, sex, national origin, age, disability status, genetic information, veteran's status, ancestry, sexual orientation or status as a parent as defined by applicable law. It is the Bank's policy to comply with applicable laws concerning the employment of persons with disabilities, including reasonable accommodation for applicants and employees with disabilities.",3.8,"FHLBank Pittsburgh
3.8","Pittsburgh, PA",-1,201 to 500 Employees,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),-1
STAFF SCIENTIST,$78K-$133K (Glassdoor est.),"Position: Staff Scientist

Requisition Number: 2020-2410-09

S&ME is an employee-owned engineering firm that provides civil, geotechnical, environmental, planning, landscape architecture, survey and construction services. Consistently ranked in the top 100 of ENR's Top 500 Design Firms, our markets are diverse and include transportation, energy, water/wastewater, commercial development, industry, healthcare, education and government. We recruit top talent and are currently seeking a Staff Scientist to join our team in Chattanooga, Tennessee.

The individual will perform field and office work associated with environment evaluations. Field work will include: soil sampling, groundwater sampling, surface water sampling, sediment sampling, wetland delineations, stream classifications, and fauna/flora identification. Other responsibilities include completing data entry to capture field activities, and the preparation of standard environmental reports. This individual will be expected to maintain knowledge of, and compliance with, regulatory requirements by attending environmental or natural resources training courses, or other in-house trainings. This position will require some travel and overnight stays.

Qualifications:
BS in environmental science, geology, biology, chemistry or related field;
2-4 years field experience in related field;
Ability to work outdoors in varying weather conditions;
Ability and willingness to accommodate overnight and out-of-town assignments;
Good technical writing, verbal communication, and computer skills.
This is a full-time position with competitive pay based on experience. Successful candidate must meet requirements of the company's Fleet Management Program, Substance Policy and Reference Check program. Submit resume, cover letter, and salary expectations for consideration. Only qualified candidates with acceptable employment eligibility verification (I-9) will be considered. Visa assistance not provided. S&ME reserves the right to fill this position with an internal or external candidate at any time during the search. S&ME is not responsible for unauthorized job postings or submissions of resumes using external links/websites.

No candidate/recruiter calls, personal calls or walk-ins accepted.

An Equal Opportunity Employer.

Minorities/Females/Disability/Veterans; VEVRAA Federal Contractor

Job Posted by ApplicantPro",3.6,"S&ME, Inc.
3.6","Chattanooga, TN",-1,1001 to 5000 Employees,1973,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1
Data Scientist,$78K-$133K (Glassdoor est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","Atlanta, GA",-1,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
Senior Data Scientist,$78K-$133K (Glassdoor est.),"About Us

At GutCheck, we pioneered agile market research to provide our clients with actionable insights at the speed of their business. As the marketplace rapidly evolves, we're evolving with it. By combining qualitative, quantitative, and behavioral methodologies, our team of full-service research experts synthesizes insights to help clients make more confident business decisions -- connecting them with their target consumers earlier and more often in the development process.

What Makes Our Approach Different

We create heroes out of our clients by providing them with contextualized insights to more efficiently and effectively connect with their target audiences. Enabled by technology and automation, we are dedicated partners who take a human-first approach to delivering powerful insights. Today, we are bringing agile to strategy: enabling brands to gather robust foundational insights in an agile, iterative way to inform key business within the demands of today's innovation timelines.

Here's where you come in:

As our Senior Data Scientist, you will be the primary contributor that will operationalize predictive models built with machine learning and advanced analytic technologies. GutCheck owns years of structured and unstructured data. We've started to identify patterns in our world-class market research using machine learning technologies such as TensorFlow. You will help us by providing expertise on mathematical concepts for the broader cross-functional analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization.

You will work closely with our talented and agile Product and Engineering teams to craft scalable, well-designed solutions that address the technical and architectural challenges inherent to making sense of our data. We have a focus on quality, automation, and innovation. We encourage our Engineers to think creatively and flexibly when choosing solutions, tools, and techniques. Our team offers an environment where trust and innovation are encouraged, egos aren't accepted, and collaboration is core to our DNA.

You will advocate, evangelize and build data-fueled products that help our internal and external customers gain deeper insights into direct, targeted consumer feedback. This data can and will be coupled with third-party data sources to help our clients be heroes by making well informed business decisions. You'll help research and choose which data sources will provide unique and compelling insights, and then you'll dig in and become an expert on that data. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.

For more information on the company and the GutCheck team, please go to www.gutcheckit.com

This job description is not a complete list of your qualifications or position roles. GutCheck is proud to be an equal opportunity employer. We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, genetic information, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",3.9,"GutCheck
3.9","Denver, CO",-1,51 to 200 Employees,2009,Company - Private,Research & Development,Business Services,$10 to $25 million (USD),-1
Data Scientist,$78K-$133K (Glassdoor est.),"Company Description

MMIT is growing from the leading drug coverage data business into a comprehensive, integrated market access company serving pharmaceutical manufacturers, health insurers, PBMs and healthcare IT companies. Their suite of applications is designed to manage an ever-changing proprietary set of pharmacy and medical benefit information and to provide a structured view of complex market access information. By embedding their data and SaaS applications across healthcare, they help ensure transparency, consistency and informed prescription decisions across the MMIT Network. They partner with hundreds of payers and pharma manufacturers ensuring that their products continually capture and analyze coverage and restriction criteria for more than 98% covered lives.

Team Overview

The MMIT Product Management Team is charged with developing, growing and maintaining the MMIT product portfolio that smooth access to lifechanging therapies. This entails managing products through all phases of the product lifecycle, from concept to sunset. The product management team embraces a market-backed perspective, champions unmet client needs, and is committed to a highly accountable and collaborative Product Management approach.

Job Description

MMIT is seeking experienced Data Scientists to meaningful contributes to the growth and development of the MMIT product portfolio. Ideal candidates are comfortable working with large, complex data sets to help inform, simplify and actualize key product capabilities. They will have comfort collaborating with various stakeholders and navigating ambiguity with limited direction. They will dedicate themselves to understanding the MMIT product portfolio (both current capabilities and future product roadmaps) and key data dependencies to inform data models, architecture, and new product development.

To succeed in this role, you will apply your skillset to

· Inform, create and/or maintain master data hierarchy, attributes and structure.

· Bridge claims data and coverage data – Refine existing rules and create and continually improve new methods for accurately assigning pharmacy and medical claims volumes to MMIT controller entities

· Apply data science to the creation of short and long form geographic market and controller entity descriptive narratives (NLP / NLG)

· Translate product management strategy into actionable data science deliverables, guiding development of data models, business rules and other advanced analytical capabilities

· Excel at communicating across a broad set of cross-functional stakeholders.

· Work collaboratively with MMIT product and data teams to develop and/or commercialize analytics use cases that may include market access, coverage / lives, and RWE data

· Effectively partner with external organizations including clients and vendors to develop meaning and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.

· Identify and evaluate additional data sources that could be integrated in value enhancing ways.

· Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise.

· Support various commercial or commercialization efforts as needed.

· Take a leading role in developing data science as a discipline across product management, development and data operations.

Qualifications

Relevant Skills and Experiences

· Postgraduate degree or higher involving machine learning, statistics, or computer science

· Experience of statistical / machine learning projects in academia or commercial sector end to end with proven delivery capability including capturing requirements, designing analysis plans, interfacing with clients and report / manuscript writing

· Experience in applying Natural Language Processing and related AI capabilities.

· Experience working with large and complex healthcare datasets, preferably patient-level longitudinal data and experience with studies of treatment effectiveness/outcomes, disease progression, adherence, healthcare utilization, patient journey, sales targeting, prescription/procedure volumes/shares, provider networks and prescribing/treatment patterns, etc

· Strong related programming skills including experience with good coding practices and a thorough understanding of the data science package landscape. Familiarity with Tableau and PowerBI a plus.

· Familiarity with agile software development practices

· Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences, write analysis plans for projects, contribute to proposals / grant applications, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.

· Demonstrated ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest and exploration

· Proven ability to develop meaningful/valuable analytic insights from multiple data sources and support value through commercialization

Preferred candidates may also have

· Experience supporting or launching Data and Analytics or SaaS-based enterprise product

· Experience in managed markets and pharma market access ecosystem

· Experience in the commercial health insurance industry

· Knowledge of payer marketing, drug development lifecycle and drug launch process

Additional Information

All your information will be kept confidential according to EEO guidelines.

Position will be based in Livingston NJ or Yardley PA

(highly qualified remote applicants will be considered)

Travel Requirements:

Approximately <10>",3.8,"MMIT
3.8","Yardley, PA",-1,201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Analyst II,$78K-$133K (Glassdoor est.),"Who is Cenlar?

You are.

Employee-owners have made Cenlar one of the nation’s largest mortgage subservicers. We have achieved success by empowering people with company ownership, real programs that provide avenues for advancement, and a great atmosphere that makes everyone look forward to the workday. Get your share of our success by considering the opportunity to join our team as a Data Analyst II.

Job Summary:

Responsible for working with large and complex data sets (both internal and external data) to evaluate, recommend, and support the implementation of business strategies. Identifies and compiles data sets using a variety of tools (e.g. SQL, Access) to help predict, improve, and measure the success of key business to business outcomes. Responsible for documenting data requirements, data collection/processing/cleaning, and exploratory data analysis; which may include utilizing statistical models/algorithms and data visualization techniques. Incumbents in this role may often be referred to as Data Scientists.

Responsibilities:
Day-to-day actions are focused on administering defined procedures, analysis and report preparation.
Commands knowledge of data elements across the enterprise and industry – definitions, lineage and usage
Executes creation of tabular operational reports and aggregation reports with medium to high complexity.
Commands intermediate to expert level t-SQL coding proficiency
Performs data mapping for systems integration, data provisioning, and data consumption
Responsible for documenting metadata, data lineage, data definitions and business glossary entries.
Handles basic data transformation tasks such as date and decimal formatting, rounding of numeric values, and conversion of numeric values to percentages.
Has intermediate to expert level SSIS ETL build proficiency
Works with Data stewards to enforce adherence to standards for enhancements and new repositories.
Handles more complicated report requests, data visualizations, forecasting, regression modeling, sequencing (e.g. Fibonacci or similar) and trend analysis.
Can deduce portfolio or market trends from reports or chart analysis.
Understands business logic for aggregation and analysis services.
Can perform data transformation and can produce dimensional reports
Can perform basic data profiling activities, understands cardinality
Helps to define guidelines for data management, governance and reporting
May direct day-to-day work of employees, but will not typically have formal management role.
Individual at this level is expected to use some independence of thought but to refer more complex problems to supervisors or other experts.
Individual would be expected to contribute to work flow or process change and redesign and to form a strong basic understanding of the specific product or process.
Qualifications:
Typically exhibits strong executional capabilities and is beginning to take on more responsibility.
Primary focus is on execution within defined parameters, with some expansion based on developing capabilities and or experiences. In partnership with more experienced staff.
Minimum of 5 years of experience.
Bachelor’s degree in computer science, finance, mathematics, statistics (or similar) or equivalent work experience
Total Rewards:

Cenlar FSB offers outstanding benefits which may include paid medical/dental/life insurance, 401k, employee ownership, tuition assistance, a supportive work environment, and genuine opportunities for advancement. Cenlar is a Drug Free Workplace and an Equal Employment Opportunity/Affirmative Action Employer -- M/F/D/V/SO.

Visit www.cenlar.com for more details.

Please apply online.",2.5,"Cenlar
2.5","Ewing, NJ",-1,1001 to 5000 Employees,1958,Company - Private,-1,-1,$100 to $500 million (USD),-1
Class Action Data Analyst,$78K-$133K (Glassdoor est.),"Focused on labor and employment law since 1958, Jackson Lewis P.C.’s 950+ attorneys located in major cities nationwide consistently identify and respond to new ways workplace law intersects business. We help employers develop proactive strategies, strong policies and business-oriented solutions to cultivate high-functioning workforces that are engaged, stable and diverse, and share our clients' goals to emphasize inclusivity and respect for the contribution of every employee.
The Firm is ranked in the First Tier nationally in the category of Labor and Employment Litigation, as well as in both Employment Law and Labor Law on behalf of Management, in the U.S. News - Best Lawyers® “Best Law Firms”.
This position is located in Sacramento, CA.
Job Summary (basic description)
Analyze timekeeping, payroll and human resources information systems data to identify potential non-compliance with wage and hour issues. These analyses amount to re-engineering the timekeeping and payroll systems of employers to determine if the employers have complied with the Fair Labor Standards Act, the California Labor Code, and the associated applicable regulations.
Essential Functions
The Class Action Data Analyst designs and builds databases using Microsoft Access to evaluate and analyze data. The data analyst uses structured query language (SQL) and Microsoft Visual Basic for Applications to program procedures and functions to evaluate large volumes of data, and design and create reports identifying potential exposure for wage and hour claims, variations in behaviors among putative class members by organization unit.
• Analyzing payroll data to identify situations where the regular rate has not been calculated in accordance with the Fair Labor Standards Act and the California Labor Code
• Analysis of overtime payments to determine if overtime has been calculated in accordance with the California Industrial Welfare Commission Wage Orders
• Analysis and comparison of timekeeping data and payroll data to determine differences between time worked and time paid
• Analysis of time keeping data to identify if meal periods have been provided in accordance with the California Labor Code and the California Industrial Welfare Commission Wage Orders
• Analysis of employer human resources information systems data to identify potential putative class members and their respective terms of employment.
Qualifications/Skills Required
• MS Excel, Access, VBA
• Ability to write programs/macros to automate repetitive statistical and data tasks required.
• Critical thinking and problem solving skills required.
• Strong organizational and communication skills.
• Ability to determine client and project needs and independently design and prepare data and analyses
• Ability to multi-task and manage multiple projects, from start to finish, with shifting priority levels.
• Bonus for R knowledge or experience.
Educational Requirements
• Bachelor’s degree required, advanced degree preferred
Jackson Lewis understands that embracing our differences makes us a stronger, better firm. We appreciate the importance of having a workforce that reflects the various communities in which we work. We strive to create an inclusive environment where diverse employees want to work and where they can flourish professionally. In furtherance of our culture, all qualified applicants will receive consideration for employment without regard to race, national origin, gender, age, religion, disability, sexual orientation, veteran status, marital status or any other characteristics protected by law.",3.0,"Jackson Lewis
3.0","Sacramento, CA",-1,1001 to 5000 Employees,1957,Company - Private,Legal,Accounting & Legal,$50 to $100 million (USD),-1
"Environmental - Geologist, Scientist or Engineer (CAMPUS)",$78K-$133K (Glassdoor est.),"Antea USA, Inc. (Antea®Group) is seeking motivated, detail-orientedgraduates for entry level Environmental Scientist, Geologist or Engineer roles forSpring 2021 opportunities in various office locations throughout the United States.

Qualified individuals must have strong organizational and communication skills (both verbal and written), and a desire to work in a fast-paced environment with a strong technical support team. This safety-sensitive position reports to a project manager and will support project teams on a variety of assignments including site remediation activities, technical and safety oversight of subcontractors, permitting, Phase I and Phase II Environmental Site Assessments, and health and safety audit support. Tasks will include preparing work and health and safety plans; conducting soil and groundwater investigations and sampling; remediation system operation and maintenance; data entry, management and analysis; and the preparation of reports in a variety of formats.

This is a full-time position with 70% - 80% of travel anticipated. This may require working alone in remote locations and/or out of state work supporting other company offices.

Antea®Group focuses strongly upon safety in all aspects of our operations, in the field, the office, and while traveling. The successful candidate must likewise consider safety as paramount and demonstrate an awareness of safe operations, and be willing to accommodate long or non-standard work hours on a project by project basis.

QUALIFICATIONS:

Education and Training
BS in Geology / Hydrogeology / Engineering / Environmental Sciences / Health and Safety or related major
Proficiency in Microsoft Word and Excel
Minimum 0– 3 years of applicable environmental experience
This position requires a 40-hour HAZWOPER OSHA certification. While current certification is desirable, it is not required to apply. HAZWOPER training will be provided upon employment if the successful candidate(s) is/are not already certified
Experience& Fundamental Skill Set
Strong mechanical, organizational and communication skills
Strong time, project task management, and decision-making skills
Able to work independently, troubleshoot mechanical issues and produce results with attention to details
Ability to multi-task with multiple project managers
Interest and motivation to diversify skill set
Familiarity with state and federal environmental regulatory framework
Potential employees must pass a company-paid physical examination, drug-screen and have a valid driver's license
Physical Requirements / Work Environment - Maintain physical condition appropriate to the performance of assigned duties and responsibilities, which may include the following:

Sedentary to light work (typical office or administrative work)
Frequently required to stand, sit and walk for extended periods of time
Occasional lifting and carrying of low (under 25lbs) to moderate (25-49lbs) weight objects
Repetitive motions: substantial movements (motions) of the wrists, hands, and/or fingers (including reaching)
Subject to inside environmental conditions (protection from weather conditions but not necessarily from temperature change)
Operation of a motor vehicle
Additionally, if you are assigned work in the field at client project sites you will need to complete a medical surveillance/fitness-for-duty examination and maintain physical condition appropriate to the performance of assigned duties and responsibilities which may include the following:

Medium to heavy work
Subject to outside environmental conditions: heat/cold, wind, wet and/or humid, etc.
Occasional stooping (bending body downward and forward), kneeling (bending legs at knee), crouching (bending body downward and forward) and climbing
Frequent lifting (including push/pull, hold/carry) of light, moderate and possibly heavy weight objects
Subject to hazards, including a variety of physical conditions, including but not limited to proximity to moving vehicles, parts or equipment; exposure to chemicals; pressure (including noise); electrical hazards; biological hazards; excavation/trenching; confined spaces; elevated work; materials handling
May be required to wear an air purifying respirator
Antea®Group offers competitive benefits including paid vacation, paid holidays and paid sick leave.

Antea USA, Inc. (Antea®Group) is an EEO/AA Employer

Minority/Female/Disabled/Veteran/Sexual Orientation/Gender Identity and other protected categories

NO RECRUITERS PLEASE/NO VISA SPONSORSHIP AT THIS TIME",4.0,"Antea Group
4.0",United States,-1,201 to 500 Employees,1986,Company - Private,Architectural & Engineering Services,Business Services,$50 to $100 million (USD),-1
"Scientist, Assay Development",$78K-$133K (Glassdoor est.),"POSITION SUMMARY:
This position is responsible for developing, coordinating, and providing assay support for preclinical, clinical candidates and other CMO projects coordinated by Process Development and Manufacturing. This position will also be responsible for developing and evaluating technology to characterize vaccine products (example: recombinant protein, virus or bacterial vaccines). This position also involves and coordinates the assay qualification, validation and tech transfer activities.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Responsible for developing physicochemical methodologies and analytical techniques including chromatography (HPLC - size exclusion, ion exchange), light scattering, solubility and viscosity measurements, spectroscopy (CD, fluorescence, UV/VIS, and FTIR), for quantifying purity/quality of proteins, peptides, VLPs, viral vectors.
Responsible for performing Peptide micro-array, ELISA, SDS-PAGE, Western blotting, qPCR, and RT-PCR and other gene/protein expression assays.
Responsible for developing or optimizing viral titer assays, TCID50, plaque, and focus assays for viral vectors.
Lead development of assays for physical and functional characteristics of recombinant protein, bacterial or viral vaccine formulations to support various phases of clinical manufacturing projects.
Coordinates and lead the development of release and potency assays for various vaccine platforms as needed.
Coordinate various projects and provide assay or analytical support for Process Development and Manufacturing.
Coordinates assay transfer activities as appropriate for internal or external projects.
Coordinate assay activities among Assay Development, Quality Control and Process Development groups for driving work to meet project deliverables as well as for cross-functional improvements.
Experienced in the principles of good record keeping for all the assay development processes.
Demonstrated ability to assemble data generated into technical reports, summaries, and/or graphic presentations.
Write, review, and edit SOPs.
Performs other duties as assigned.
QUALIFICATIONS AND REQUIREMENTS:
PhD degree in Molecular Biology, Biochemistry, Biophysics or Pharmaceutical Chemistry discipline with a 3+ years in Assay/Analytical Development, Protein Characterization, Formulation development in vaccines in an industrial setting.
Hands-on and in-depth understanding of different recombinant protein physical and biochemical characterization and stabilization techniques.
Experience in technology transfer, assay qualification and assay validation
Experience in the design and screening various formulations for protein and virus to assess stability. Investigates, develops, optimizes, and implements new analytical assays.
Evidence of experience with cGMP, ICH testing guidelines and regulatory requirements for filing and registration of vaccine and/or biologics.
Evidence of effective communication, both verbally and written.
Demonstrate highly organized, analytical, accurate, and detail oriented capabilities.
Evidence of ability to prioritize assignments; time management and multitasking in a dynamic environment.
IDT offers a competitive compensation package to include major medical/dental/vision, group life insurance, STD/LTD plans, 401k plan with company match, and paid vacation, sick and holidays.
IDT Biologika Corporation is an Equal Opportunity Employer:
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status andwill not be discriminated against on the basis of disability.",3.6,"IDT Biologika
3.6","Rockville, MD",-1,1001 to 5000 Employees,2011,Unknown,Health Care Products Manufacturing,Manufacturing,$100 to $500 million (USD),-1
Data Scientist,$78K-$133K (Glassdoor est.),"As a part of the Data Science team, you will run the development of next-generation platforms for customers micro-segmentation, clusterization, behavior analysis, and prediction as well as building up new improved recommendation systems for the customers.

You will use your expertise to design data science models and frameworks, data processing pipelines, and lead efforts of the ML models productization.

You will use project management skills to manage the deliverables and ensure all stakeholder work is complete on time. You will also manage stakeholder communications and present your project across a wide spectrum of management levels.

The position requires excellent communication skills and experience working directly with technical teams as well as with business stakeholders. Being able to present findings in a meaningful and clear way is a must.

Responsibilities:
Work with a team of skilled data scientists
Plan the R&D process to fit sprint goals as well as the project milestones.
Drive the collection, cleaning, processing, and analysis of new and existing data sources.
Lead ML models development using Python/Tensorflow/Keras/Spark stack.
Communicate with business stakeholders to clarify their requirements and present the teamwork results.
Requirements:
Bachelors or Masters Degree in Computer Science or relevant field and with 3+ years’ experience in related data science and software engineering roles.
Experience with look-alike modeling and sequential-input models, RNNs (LSTM, GRU, etc.)
Strong working experience in Python, SQL and NoSQL DBs.
Practical skills in usage of big data technologies and tools including Hadoop, MapReduce, Hive, Spark.
Fluency in such technologies like Scikit-learn, Pandas,Tensorflow, keras, gensim, stanfordNLP, PySpark.
Great communication and presentation skills. Proven ability to present progress made by the team to senior business management and the project stakeholders.
Familiarity with Container Development (using dockers)
Familiarity with cloud ML Platforms (Google AI Platform, Amazon Sagemaker, MS Azure AI Platform) is a plus.
We offer:
Opportunity to work on bleeding-edge projects
Work with a highly motivated and dedicated team
Very competitive salary
Flexible schedule
Medical insurance
Benefits program
Corporate social events
Professional development opportunities
NB:

Placement and Staffing Agencies need not apply. We do not work with C2C at this time. At this moment, we are not able to process H1B transfers. Applicants with CPT and OPT visas are welcome to apply.

About Us:

Grid Dynamics is the engineering services company known for transformative, mission-critical cloud solutions for retail, finance and technology sectors.

We architected some of the busiest e-commerce services on the Internet and have never had an outage during the peak season.

Founded in 2006 and headquartered in San Ramon, California with offices throughout the US and Eastern Europe, we focus on big data analytics, omnichannel services, DevOps, and cloud enablement.",3.9,"Grid Dynamics
3.9","Plano, TX",-1,1001 to 5000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
(Sr.) Data Scientist -,$78K-$133K (Glassdoor est.),"Thursday, June 11, 2020

Merrick Bank is a top-25 credit card issuer and merchant acquirer in the VISA/MasterCard networks, and a major recreational vehicle lender.
The Bank is a Utah Financial Institution and a member of the FDIC.

At Merrick Bank, we specialize in credit programs that assist people looking to build or rebuild their credit. We are FDIC insured and recognized as a top-20 issuer of Visa® cards. In total, we proudly serve over 2.4 million cardholders and have extended over $5.3 billion in credit.

Our Mission is to make a positive difference in the lives of our customers, our employees, and our community. We work hard to create a work environment that empowers our associates to grow, learn, and reach their potential.

This position is a member (or, a senior member, depending upon qualifications) of the Data Science and Modeling team, and will support and work with other members of the team to produce the models, reports, and analysis as required for the bank. Data science, machine learning and statistical programming are the core competencies of the position, but in addition, the applicant should work well with others, have a desire to learn, be self-motivated, and have excellent communication and presentation skills.

REQUIRED SKILLS, ABILITIES, KNOWLEDGE, AND EXPERIENCE:
Master's degree in a relevant quantitative field, or a bachelor’s degree with a significant amount of relevant work experience.
Firm knowledge of statistical theory, data science, or machine learning algorithms is a requirement.
Expertise with R or Python is required.
Experience with any of the following computer languages is also desirable: CUDA, FORTRAN or C/C++, SAS, SQL, Unix shell scripting, or LaTeX.
Experience with HPC (High Performance Computing), or Parallel Computing would be a plus. Experience with SLURM would be outstanding.
Experience in the banking industry, specifically in credit cards, is not necessary, but would be desirable.


PRIMARY DUTIES:
Statistical programming, model development and implementation.
Communicating results, both verbally and in writing.
Work both individually and in a collaborative manner with a team.
Designing, validating, and improving data driven decision making processes and strategies.
Building key metrics and modeling reports for communication with executives.
Compliant with Laws & Regulations.

What’s in it for you:

Competitive salary (DOE)

Benefits package -Medical, Dental and Vision (plus much more)

401(k) Plan with Company Match

Short & Long Term Disability

Group Life and AD&D Insurance

Paid Vacation, Holidays, and Personal Days

Employee Events, including Employee Appreciation Day, Holiday Party, etc.

Tuition Reimbursement Program
Candidates must have unrestricted authority to work in the
United States without sponsorship.

Merrick Bank is an equal opportunity employer. We evaluate qualified applicants
without regard to race, color, religion, sex, national origin, disability,
veteran status, and other legally protected characteristic. The EEO is the
Law poster is available here: http://www1.eeoc.gov/employers/poster.cfm

Please go to our website www.merrickbank.com to apply and learn more about our company

We are an equal opportunity employer. Merrick Bank will do a thorough background check for all hires. This includes a review of your personal credit history, drug testing, background check, and employment/personal references. A good credit history is important.

Other details
Job Family
Account Acquisition & Data Science
Pay Type
Salary",3.5,"Merrick Bank
3.5",Utah,-1,201 to 500 Employees,1997,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
